nombre_instituciòn ,esc_fac,id,revista ,posgrado ,ent_fed,region ,modalidad ,financiamiento ,tipo ,tipo_2,lug_ofer,sol_prim_ing_h,sol_prim_ing_m,sol_prim_ing_t,prim_ing_h,prim_ing_m,prim_ing_t,mat_h,mat_m,mat_t,egre_h,egre_m,egre_t,tit_h,tit_m,tit_t
BENEMÉRITA UNIVERSIDAD AUTÓNOMA DE PUEBLA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,BUAP_FDyCS,sin_revista ,posgrado ,PUEBLA,oriente ,escolarizada,estatal ,soc_general ,soc_general ,90,40,62,102,29,35,64,100,146,246,19,41,60,0,6,6
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES ACATLÁN,FES_Acatlan,revista ,posgrado ,MÉXICO,centrosur ,escolarizada,federal ,soc_general ,soc_general ,147,68,90,158,57,90,147,252,363,615,26,51,77,30,55,85
UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO,UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO - FACULTAD DE ESTUDIOS SUPERIORES ARAGÓN,FES_Aragon,revista ,posgrado ,MÉXICO,centrosur ,escolarizada,federal ,soc_general ,soc_general ,110,52,64,116,52,47,99,197,196,393,18,57,75,15,36,51
INSTITUTO DE CIENCIAS HUMANIDADES Y TECNOLOGÍAS DE GUANAJUATO,"INSTITUTO DE CIENCIAS, HUMANIDADES Y TECNOLOGÍAS DE GUANAJUATO",ICHyT_edu,sin_revista ,sin_posgrado ,GUANAJUATO,centronorte ,escolarizada,particular ,soc_educación ,soc_esp,8,2,2,4,0,0,0,1,0,1,0,1,1,4,1,5
INSTITUTO EDUCATIVO DOLORES DEL RÍO,INSTITUTO EDUCATIVO DOLORES DEL RÍO - EXTENSIÓN SANTIAGO PAPASQUIARO DURANGO,IE_Dolores_Rio,sin_revista ,sin_posgrado ,DURANGO,noroeste ,escolarizada,particular ,soc_des_regional,soc_esp,20,0,2,2,0,0,0,7,0,7,0,0,0,0,4,4
INSTITUTO SUPERIOR IBÉRICO,INSTITUTO SUPERIOR IBÉRICO,IS_Iberico,sin_revista ,sin_posgrado ,DURANGO,noroeste ,mixta,particular ,soc_general ,soc_general ,10,3,3,6,3,3,6,3,3,6,7,10,17,7,10,17
"UNIVERSIDAD ABIERTA DE TLAXCALA, A. C.","UNIVERSIDAD ABIERTA DE TLAXCALA, A. C.",U_Abie_Tlax,sin_revista ,sin_posgrado ,TLAXCALA,oriente ,no_escolarizada ,particular ,soc_general ,soc_general ,2,1,1,2,1,1,2,2,5,7,2,1,3,1,0,1
UNIVERSIDAD AMÉRICA LATINA,UNIVERSIDAD AMÉRICA LATINA - CAMPUS PATRIA,U_Ame_Lat,sin_revista ,sin_posgrado ,JALISCO,occidente ,no_escolarizada ,particular ,soc_general ,soc_general ,2,1,1,2,1,1,2,8,2,10,1,0,1,0,0,0
UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,FACULTAD DE CIENCIAS ADMINISTRATIVAS Y SOCIALES,UABC_FCAyS,sin_revista ,posgrado ,BAJA CALIFORNIA,noroeste ,escolarizada,estatal ,soc_general ,soc_general ,3,3,2,5,0,0,0,10,19,29,2,8,10,2,5,7
UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA,FACULTAD DE CIENCIAS HUMANAS,UABC_FCH,sin_revista ,posgrado ,BAJA CALIFORNIA,noroeste ,escolarizada,estatal ,soc_general ,soc_general ,3,5,5,10,0,0,0,15,16,31,2,4,6,3,8,11
